DATE,CPIAUCSL
1981-01-01,87.2
1981-02-01,88.0
1981-03-01,88.6
1981-04-01,89.1
1981-05-01,89.7
1981-06-01,90.5
1981-07-01,91.5
1981-08-01,92.2
1981-09-01,93.1
1981-10-01,93.4
1981-11-01,93.8
1981-12-01,94.1
1982-01-01,94.4
1982-02-01,94.7
1982-03-01,94.7
1982-04-01,95.0
1982-05-01,95.9
1982-06-01,97.0
1982-07-01,97.5
1982-08-01,97.7
1982-09-01,97.7
1982-10-01,98.1
1982-11-01,98.0
1982-12-01,97.7
1983-01-01,97.9
1983-02-01,98.0
1983-03-01,98.1
1983-04-01,98.8
1983-05-01,99.2
1983-06-01,99.4
1983-07-01,99.8
1983-08-01,100.1
1983-09-01,100.4
1983-10-01,100.8
1983-11-01,101.1
1983-12-01,101.4
1984-01-01,102.1
1984-02-01,102.6
1984-03-01,102.9
1984-04-01,103.3
1984-05-01,103.5
1984-06-01,103.7
1984-07-01,104.1
1984-08-01,104.4
1984-09-01,104.7
1984-10-01,105.1
1984-11-01,105.3
1984-12-01,105.5
1985-01-01,105.7
1985-02-01,106.3
1985-03-01,106.8
1985-04-01,107.0
1985-05-01,107.2
1985-06-01,107.5
1985-07-01,107.7
1985-08-01,107.9
1985-09-01,108.1
1985-10-01,108.5
1985-11-01,109.0
1985-12-01,109.5
1986-01-01,109.9
1986-02-01,109.7
1986-03-01,109.1
1986-04-01,108.7
1986-05-01,109.0
1986-06-01,109.4
1986-07-01,109.5
1986-08-01,109.6
1986-09-01,110.0
1986-10-01,110.2
1986-11-01,110.4
1986-12-01,110.8
1987-01-01,111.4
1987-02-01,111.8
1987-03-01,112.2
1987-04-01,112.7
1987-05-01,113.0
1987-06-01,113.5
1987-07-01,113.8
1987-08-01,114.3
1987-09-01,114.7
1987-10-01,115.0
1987-11-01,115.4
1987-12-01,115.6
1988-01-01,116.0
1988-02-01,116.2
1988-03-01,116.5
1988-04-01,117.2
1988-05-01,117.5
1988-06-01,118.0
1988-07-01,118.5
1988-08-01,119.0
1988-09-01,119.5
1988-10-01,119.9
1988-11-01,120.3
1988-12-01,120.7
1989-01-01,121.2
1989-02-01,121.6
1989-03-01,122.2
1989-04-01,123.1
1989-05-01,123.7
1989-06-01,124.1
1989-07-01,124.5
1989-08-01,124.5
1989-09-01,124.8
1989-10-01,125.4
1989-11-01,125.9
1989-12-01,126.3
1990-01-01,127.5
1990-02-01,128.0
1990-03-01,128.6
1990-04-01,128.9
1990-05-01,129.1
1990-06-01,129.9
1990-07-01,130.5
1990-08-01,131.6
1990-09-01,132.5
1990-10-01,133.4
1990-11-01,133.7
1990-12-01,134.2
1991-01-01,134.7
1991-02-01,134.8
1991-03-01,134.8
1991-04-01,135.1
1991-05-01,135.6
1991-06-01,136.0
1991-07-01,136.2
1991-08-01,136.6
1991-09-01,137.0
1991-10-01,137.2
1991-11-01,137.8
1991-12-01,138.2
1992-01-01,138.3
1992-02-01,138.6
1992-03-01,139.1
1992-04-01,139.4
1992-05-01,139.7
1992-06-01,140.1
1992-07-01,140.5
1992-08-01,140.8
1992-09-01,141.1
1992-10-01,141.7
1992-11-01,142.1
1992-12-01,142.3
1993-01-01,142.8
1993-02-01,143.1
1993-03-01,143.3
1993-04-01,143.8
1993-05-01,144.2
1993-06-01,144.3
1993-07-01,144.5
1993-08-01,144.8
1993-09-01,145.0
1993-10-01,145.6
1993-11-01,146.0
1993-12-01,146.3
1994-01-01,146.3
1994-02-01,146.7
1994-03-01,147.1
1994-04-01,147.2
1994-05-01,147.5
1994-06-01,147.9
1994-07-01,148.4
1994-08-01,149.0
1994-09-01,149.3
1994-10-01,149.4
1994-11-01,149.8
1994-12-01,150.1
1995-01-01,150.5
1995-02-01,150.9
1995-03-01,151.2
1995-04-01,151.8
1995-05-01,152.1
1995-06-01,152.4
1995-07-01,152.6
1995-08-01,152.9
1995-09-01,153.1
1995-10-01,153.5
1995-11-01,153.7
1995-12-01,153.9
1996-01-01,154.7
1996-02-01,155.0
1996-03-01,155.5
1996-04-01,156.1
1996-05-01,156.4
1996-06-01,156.7
1996-07-01,157.0
1996-08-01,157.2
1996-09-01,157.7
1996-10-01,158.2
1996-11-01,158.7
1996-12-01,159.1
1997-01-01,159.4
1997-02-01,159.7
1997-03-01,159.8
1997-04-01,159.9
1997-05-01,159.9
1997-06-01,160.2
1997-07-01,160.4
1997-08-01,160.8
1997-09-01,161.2
1997-10-01,161.5
1997-11-01,161.7
1997-12-01,161.8
1998-01-01,162.0
1998-02-01,162.0
1998-03-01,162.0
1998-04-01,162.2
1998-05-01,162.6
1998-06-01,162.8
1998-07-01,163.2
1998-08-01,163.4
1998-09-01,163.5
1998-10-01,163.9
1998-11-01,164.1
1998-12-01,164.4
1999-01-01,164.7
1999-02-01,164.7
1999-03-01,164.8
1999-04-01,165.9
1999-05-01,166.0
1999-06-01,166.0
1999-07-01,166.7
1999-08-01,167.1
1999-09-01,167.8
1999-10-01,168.1
1999-11-01,168.4
1999-12-01,168.8
2000-01-01,169.3
2000-02-01,170.0
2000-03-01,171.0
2000-04-01,170.9
2000-05-01,171.2
2000-06-01,172.2
2000-07-01,172.7
2000-08-01,172.7
2000-09-01,173.6
2000-10-01,173.9
2000-11-01,174.2
2000-12-01,174.6
2001-01-01,175.6
2001-02-01,176.0
2001-03-01,176.1
2001-04-01,176.4
2001-05-01,177.3
2001-06-01,177.7
2001-07-01,177.4
2001-08-01,177.4
2001-09-01,178.1
2001-10-01,177.6
2001-11-01,177.5
2001-12-01,177.4
2002-01-01,177.7
2002-02-01,178.0
2002-03-01,178.5
2002-04-01,179.3
2002-05-01,179.5
2002-06-01,179.6
2002-07-01,180.0
2002-08-01,180.5
2002-09-01,180.8
2002-10-01,181.2
2002-11-01,181.5
2002-12-01,181.8
2003-01-01,182.600
2003-02-01,183.600
2003-03-01,183.900
2003-04-01,183.200
2003-05-01,182.900
2003-06-01,183.100
2003-07-01,183.700
2003-08-01,184.5
2003-09-01,185.100
2003-10-01,184.9
2003-11-01,185.000
2003-12-01,185.500
2004-01-01,186.300
2004-02-01,186.700
2004-03-01,187.100
2004-04-01,187.400
2004-05-01,188.200
2004-06-01,188.900
2004-07-01,189.100
2004-08-01,189.200
2004-09-01,189.800
2004-10-01,190.8
2004-11-01,191.700
2004-12-01,191.700
2005-01-01,191.600
